 BARRAS;PRODUCTO;COSTO;
7790520987044;LYSOFORM COCINA ANTIG. GAT X 500;19.734;
7790520987051;LYSOFORM COCINA ANTIG. D.P. X 500;9.804;
7790520987105;GLADE CANASTA P/ INOD FULL 4 FRAG;6.328;
7790520987112;GLADE CANASTA P/ INOD REP 4 FRAG;5.214;
7790520987136;GLADE AUTO REP I LOVE YOU;29.806;
7790520987167;GLADE AUTO FULL NEUTRALIZDOR;33.269;
7790520987297;BLEM  x 400 AERO LAVANDA;21.140;
7790520987358;MM ANTIG NARANJA D PACK x 900;12.580;
7790520987365;MR MUSCULO OXY POWER POLVO x 400G;32.161;
7790520987389;GLADE x 360 AERO B DE LAS CUMBRES ;9.076;
7790520987426;GLADE TOQUE REP. BRISA  DE LAS CUMBRES;10.701;
7790520987433;LYSOFORM  x 900 ORIGINAL BOTELLA;12.367;
7790520987440;LYSOFORM  x 800 D PACK ORIGINAL;10.958;
7790520987457;LYSOFORM .x 450 D PACK LAVANDA;7.934;
7790520987464;LYSOFORM  x 450 D PACK  A MONTAÑA;7.934;
7790520987488;M MUS BLOQUE MOCHILA AZUL x 45G;12.471;
7790520987600;GLADE PASTILLA INODOROS LAVANDA;5.262;
7790520987617;GLADE SENSATIONS REP ALGODÓN;20.554;
7790520987891;M MUS ADHESIVO 30 gr LAVANDA;6.902;
7790520988003;GLADE TOQUE FULL MAÑANA DE CAMPO;16.377;
7790520988010;GLADE TOQUE REP. MAÑANA DE CAMPO;10.701;
7790520988218;GLADE CAN.LIQ. FULL MAÑANA DE CAMPO;20.451;
7790520988225;GLADE CAN.LIQ. REP. MAÑANA DE CAMPO;17.535;
7790520988232;LYSOFORM CAN LIQ ELIM OLOR FULL;21.305;
7790520988249;LYSOFORM CAN LIQ ELIM OLOR RPTO;17.401;
7790520988300;GLADE ACEITE FULL MIX (MC-VA-HAR);38.306;
7790520988355;GLADE AUTO REP VAINILLA;29.806;
7790520988430;GLADE x 360 AERO MAÑA DE CAMPO;9.076;
7790520988454;GLADE x 360 AERO POTPURRI;9.076;
7790520988461;GLADE TOQUE REP TWIN PACK POTPOURRI;20.204;
7790520988478;GLADE TOQUE REP POTPOURRI ;10.701;
7790520988492;GLADE PASTILLA INODOROS BRISA-PINO;5.262;
7790520988515;GLADE PASTILLA INODOROS M DE CAMPO;5.262;
7790520988539;RAID TAB AP C/CABLE ;40.774;
7790520988546;GLADE CAN.LIQ. REP. BRISA DE CUMBRES;17.535;
7790520988997;BLEM  x 450 D PACK FLORAL;15.166;
7790520989000;BLEM  x 1L FLORAL;30.274;
7790520989048;LYSOFORM MANUAL INOD.GEL 500ML;12.779;
7790520989055;LYSOFORM MANUAL INOD GEL LAVANDA;12.779;
7790520989079;MM MULTIUSO GATILLO x 500 F ROJOS;17.107;
7790520989086;MM MULTIUSO D PACK x 500 F ROJOS;7.794;
7790520989093;MM MULTIUSO D PACK x 900 F ROJOS;13.391;
7790520989109;M.MUS BAÑO GATILLO 500;24.633;
7790520989116;M.MUS BAÑO D.PACK 500;10.996;
7790520989123;M.MUS BAÑO D.PACK 900;18.337;
7790520989185;MM MULTIUSO REPUESTO x 500 F ROJOS;12.117;
7790520989215;GLADE SENSATIONS REP NECTAR FLORES;20.554;
7790520989222;GLADE SENSATIONS REP HARMONY;20.554;
7790520989239;GLADE SENSATIONS REP LAVANDA;20.554;
7790520989246;GLADE GLASS SCENTS FULL HARMONY;34.497;
7790520989277;GLADE x 360 AERO HARMONY;9.076;
7790520989413;GLADE x 360 AERO FLORAL PERFECTION;9.076;
7790520989420;GLADE TOQUE FULL FLORAL PERFECTION;16.377;
7790520989437;GLADE TOQUE REP FLORAL PERFECTION;10.701;
7790520989451;GLADE SENSATIONS ELECTRIC M CAMPO;34.652;
7790520989468;GLADE SENSATIONS ELECTRIC N FLORES;34.652;
7790520989604;M MUS ADHESIVO 30 gr MARINA;6.902;
7790520989611;M MUS ADHESIVO 30 gr CITRICA;6.902;
7790520989772;M MUS DISCOS ACTIVOS FULL LAVANDA;21.961;
7790520989789;M MUS DISCOS ACTIVOS RPTO LAVANDA;17.633;
7790520995508;GLADE ULTRA I LOVE YOU x 120;12.152;
7799197300000;OFF CREMA x 60;5.311;
7805050148244;LYSOFORM BLOQUE PARA MOCHILA;13.473;
8002030138250;GLADE DEO SMILE 8CITR-4BRISA;13.648;
8002030138281;GLADE DEO SMILE VAINILLA-FISH;13.785;
