 BARRAS;PRODUCTO;COSTO
7790520508607;RAID MMM SIN OLOR;12.8648966
7790520007711;RAID MMM DOBLE ACCION x 400ML;12.612813
7790520010520;RAID EXTERMINADOR  AERO x 400;9.9495325
7790520982100;RAID MAX AEROSOL x 400;15.1716342
7790520011770;RAID ANTIPOLILLA x 400;15.0853042
7790520011732;RAID ANTIPOL. CONTINUO PERCHA x 2 Uni;15.1785406
7790520986153;RAID CASA Y JARDIN AERO x 360;12.612813
7790520988539;RAID TAB AP C/CABLE ;26.4644615
7790520145208;RAID TAB AP MAZDA S/CABLE;12.3650459
7790520000750;RAID 45 NOCHES APARATO + REPUES;28.160846
7790520154408;RAID 45 NOCHES REPUESTO ;25.0063478
7790520988072;RAID ADVANCE REPUESTO;23.3246394
7790520155702;RAID TAB LARGA DUR  X 12;5.3602297
7790520155450;RAID TAB LARGA DUR  X 24;10.6263597
7790520000781;RAID TAB LARGA DUR  X 72;30.5470072
7790520986771;RAID SIST EXTERM. CEBO EST x 6;12.2562701
7790520986160;RAID MAX JERINGA GEL x 3G;14.2591261
7790520030047;RAID MATAPULGAS AERO x 400;31.1159219
7790520000927;RAID HORMIGAS LIQUIDO GATILLO;20.0320132
7790520000934;RAID HORMIGAS LIQUIDO REP;12.5195766
7790520000910;RAID MATA HORMIGAS AERO;13.830066
7790520000941;RAID HORMIGAS POLVO X 250;12.7725235
7790520000378;FUYI ESP VERDE EST 4x12x4;1.3484746
7790520000385;FUYI ESPIRALES VERDE x 12;4.0583733
7790520000392;FUYI ESP LAVANDA x 12;4.7291574
7790520007810;FUYI MMM AEROSOL x 400;6.610253568
7790520146205;FUYI  APAR C/ CABLE ;31.0313185
7790520154903;FUYI  45 N. APARATO;29.0051534
7790520154804;FUYI  45 N. REPUESTO;25.7764114
7790520004741;FUYI TABLETAS 4x20x16;7.7593404
7790520004758;FUYI TABLETAS 4X20X28;13.3647473
7790520161918;FUYI TABLETAS 10 x 120;56.243995
7790520984579;BAYGON CEBOS CUCARA x 4;7.4640918
7790520985347;BAYGON JERINGA x 6G;18.3071398
